編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLNLKILFFAV86CA,,3262.83,見其他登記事項,鋼筋混凝土造,105年8月31日,七層,一層 二層 三層 四層 五層 六層 七層 見其他登記事項
RPVNMLQLKILFFAV47CA,17,97.52,見其他登記事項,見其他登記事項,88年11月6日,一層,一層
RPPNMLMKJHMFFBV09DA,24,126.49,見其他登記事項,加強磚造,82年3月1日,一層,一層
RPTNMLPKKHMFFAV17DA,43,525.61,見其他登記事項,鋼筋混凝土造,62年12月1日,一層,一層 騎樓
RPRNMLOKKHMFFAV86DA,35,83.60,住家用,見其他登記事項,70年9月7日,一層,
RPPNMLMLLHMFFDV86CA,9,161.84,見其他登記事項,見其他登記事項,97年5月22日,三層,一層 二層 三層 見其他登記事項
RPQNMLSKMHMFFCV47CA,,215.25,見其他登記事項,見其他登記事項,106年1月23日,二層,一層 二層
RPPNMLLJNHMFFBV66DA,17,163.50,見其他登記事項,加強磚造,89年9月4日,二層,一層 二層 屋頂突出物
RPRNMLLJNHMFFAV66CA,,186.87,住家用,鋼筋混凝土造,105年11月30日,三層,一層 二層 三層
RPUNMLNLNHMFFAV37CA,30,119.23,住家用,加強磚造,76年1月21日,二層,一層 二層
RPTNMLNJNHMFFAV07CA,21,29.39,見其他登記事項,鋼筋混凝土造,85年6月28日,九層,二層
RPTNMLNJNHMFFAV07CA,21,6.33,見其他登記事項,鋼筋混凝土造,85年6月28日,九層,
RPTNMLNJNHMFFAV07CA,21,3.56,見其他登記事項,鋼筋混凝土造,85年6月28日,九層,
RPUNMLSJNHMFFAV67CA,11,124.83,見其他登記事項,鋼筋混凝土造,95年3月10日,十層,三層
RPUNMLSJNHMFFAV67CA,11,78.44,見其他登記事項,鋼筋混凝土造,95年3月10日,十層,
RPPNMLPJNHMFFBV96CA,5,561.49,農舍,見其他登記事項,100年11月24日,二層,一層 二層
RPPNMLMJNHMFFDV86CA,29,104.19,住家用,加強磚造,76年10月2日,二層,一層 二層 騎樓
RPQNMLOJNHMFFCV07CA,36,36.67,住家用,加強磚造,,一層,一層 騎樓
