編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLQJKHMFFAX96DA,42,97.38,住家用,見其他登記事項,63年9月16日,二層,一層 二層
RPPNMLPJNHMFFAX07CA,11,114.80,見其他登記事項,鋼筋混凝土造,95年6月29日,十四層,九層
RPPNMLPJNHMFFAX07CA,11,77.87,共用部份,鋼筋混凝土造,95年6月29日,十四層,
RPRNMLMKNHMFFAX17DA,20,112.58,住家用,鋼筋混凝土造,86年7月10日,七層,五層
RPRNMLMKNHMFFAX17DA,20,46.48,見其他登記事項,鋼筋混凝土造,86年7月10日,七層,
RPSNMLMKNHMFFAX17CA,33,61.85,住家用,鋼筋混凝土加強磚造,73年4月17日,二層,一層 二層 電梯樓梯間
RPRNMLLKNHMFFAX96CA,91,26.35,住家用,見其他登記事項,15年1月1日,一層,一層
RPRNMLLKNHMFFAX96CA,91,26.35,住家用,見其他登記事項,15年1月1日,一層,一層
RPPNMLQKNHMFFAX27CA,34,112.77,住家用,鋼筋混凝土加強磚造,72年8月18日,二層,一層 二層 電梯樓梯間
RPTNMLPKNHMFFAX57CA,45,149.75,住家用,鋼筋混凝土加強空心磚造,60年12月31日,二層,一層 二層
RPRNMLPKNHMFFAX37CA,37,68.32,住家用,鋼筋混凝土加強磚造,68年11月5日,二層,一層 二層 電梯樓梯間
RPQNMLSKNHMFFAX57CA,40,85.26,住家用,鋼筋混凝土加強磚造,66年7月20日,二層,一層 二層 電梯樓梯間
RPPNMLNLNHMFFAX07CA,1,264.70,住家用,鋼筋混凝土造,105年1月28日,三層,一層 二層 三層 見其他登記事項
